Anderson Spring	35.868600000000000	-106.332500000000000
APCO-1	35.872999999999900	-106.220299999999000
B1	35.873699999999900	-106.330100000000000
Barnstead millipore DI water	35.867699999999900	-106.315700000000000
00-01535	35.880800000000000	-106.297300000000000
02-01021	35.876399999999900	-106.292900000000000
02-01022	35.876199999999900	-106.289700000000000
02-01075	35.875399999999900	-106.287100000000000
02-01076	35.875500000000000	-106.287200000000000
02-01077	35.876399999999900	-106.289900000000000
03-02664	35.873699999999900	-106.330100000000000
03-24529	35.873800000000000	-106.330200000000000
03-24530	35.873699999999900	-106.330100000000000
03-24548	35.873699999999900	-106.330100000000000
03-B-10	35.873699999999900	-106.330100000000000
03-B-13	35.873699999999900	-106.330100000000000
03-B-9	35.873800000000000	-106.330200000000000
03-MW-1	35.873699999999900	-106.330100000000000
14-02-19968	35.861800000000000	-106.285600000000000
Core Hole 2	35.874699999999900	-106.298100000000000
18-01060	35.844299999999900	-106.271100000000000
18-01063	35.844299999999900	-106.271199999999000
18-01135	35.842100000000000	-106.268800000000000
18-01136	35.841999999999900	-106.268700000000000
18-01165	35.838999999999900	-106.269200000000000
18-01166	35.838999999999900	-106.269200000000000
18-01195	35.838999999999900	-106.264799999999000
18-01196	35.838900000000000	-106.264700000000000
18-01233	35.839700000000000	-106.265100000000000
18-01234	35.839599999999900	-106.265100000000000
18-01254	35.840100000000000	-106.266300000000000
18-01255	35.840100000000000	-106.266200000000000
18-01275	35.840299999999900	-106.264900000000000
CrCH-1	35.859000000000000	-106.261100000000000
CrEX-1	35.857799999999900	-106.256700000000000
CrEX-2	35.859000000000000	-106.260700000000000
CrEX-3	35.859699999999900	-106.255000000000000
CrEX-4	35.859900000000000	-106.258000000000000
CrIN-1	35.859699999999900	-106.251099999999000
CrIN-2	35.858600000000000	-106.252000000000000
CrIN-3	35.856800000000000	-106.251800000000000
CrIN-4	35.856499999999900	-106.255200000000000
CrIN-5	35.856499999999900	-106.255900000000000
CrIN-6	35.861199999999900	-106.250699999999000
CRPZ-1	35.859000000000000	-106.261100000000000
CRPZ-2 S1	35.860300000000000	-106.256100000000000
CRPZ-2 S2	35.860300000000000	-106.256100000000000
CRPZ-3	35.861199999999900	-106.260099999999000
CRPZ-4	35.861100000000000	-106.263300000000000
CRPZ-5	35.860399999999900	-106.264900000000000
18-01684	35.836399999999900	-106.258900000000000
18-01685	35.832400000000000	-106.251700000000000
18-02013	35.842500000000000	-106.268800000000000
18-02014	35.842300000000000	-106.268700000000000
18-02015	35.842300000000000	-106.268600000000000
18-02016	35.842300000000000	-106.268600000000000
18-10010	35.838900000000000	-106.264399999999000
18-10011	35.838900000000000	-106.264600000000000
DP Spring	35.874699999999900	-106.263300000000000
ER ID #18-01685	35.832400000000000	-106.251700000000000
Fire Station 1	35.876399999999900	-106.321000000000000
Fire Station 2	35.880800000000000	-106.287000000000000
Fire Station 3	35.827199999999900	-106.205600000000000
18-10012	35.838999999999900	-106.264600000000000
18-10013	35.838999999999900	-106.264900000000000
18-10014	35.838799999999900	-106.264799999999000
18-10019	35.839199999999900	-106.270900000000000
18-BG-1	35.844299999999900	-106.271100000000000
18-MW-11	35.840299999999900	-106.264900000000000
18-MW-13	35.838900000000000	-106.264600000000000
18-MW-18	35.832400000000000	-106.251700000000000
18-MW-8	35.838999999999900	-106.269200000000000
18-MW-9	35.839599999999900	-106.265100000000000
CDBO-6	35.850299999999900	-106.264200000000000
CDBO-7	35.846299999999900	-106.260200000000000
21-01682	35.874200000000000	-106.275099999999000
21-01811	35.877899999999900	-106.273600000000000
21-01812	35.877600000000000	-106.271600000000000
35-02371	35.862200000000000	-106.287300000000000
36-02020	35.837200000000000	-106.258399999999000
36-02021	35.830199999999900	-106.245700000000000
36-02022	35.824800000000000	-106.230900000000000
36-2020	35.837200000000000	-106.258399999999000
3MAO-2	35.839199999999900	-106.272400000000000
41-01002	35.876600000000000	-106.296100000000000
Hamilton Bend Spring	35.881700000000000	-106.242500000000000
Hanlon Spring	35.869100000000000	-106.334300000000000
41-01003	35.877000000000000	-106.302700000000000
41-01004	35.879100000000000	-106.311600000000000
41-01045	35.878799999999900	-106.335300000000000
73-01005	35.880699999999900	-106.272099999999000
73-01007	35.881500000000000	-106.271199999999000
73-01009	35.881500000000000	-106.272300000000000
73-01011	35.880299999999900	-106.270300000000000
73-02428	35.881100000000000	-106.269300000000000
MCOI-5	35.859999999999900	-106.267399999999000
MCOI-6	35.860300000000000	-106.267100000000000
LA-00115	35.867100000000000	-106.224999999999000
LA-10008	35.873899999999900	-106.276200000000000
LA-10035	35.873199999999900	-106.258200000000000
LA-10066	35.876399999999900	-106.294600000000000
LA-10068	35.872199999999900	-106.248900000000000
MCOI-8	35.862499999999900	-106.273900000000000
MCWB-6.5E	35.860799999999900	-106.272200000000000
MCWB-7.7B	35.860599999999900	-106.265199999999000
MO-00050	35.860599999999900	-106.268400000000000
Mort PRB Apatite Cell 10	35.863799999999900	-106.277700000000000
Mort PRB Apatite Cell 4	35.863799999999900	-106.277700000000000
Mort PRB Apatite Cell 8	35.863799999999900	-106.277700000000000
Mort PRB Bio Cell 3	35.863799999999900	-106.277700000000000
Mort PRB Bio Cell 7	35.863799999999900	-106.277700000000000
Mort PRB Bio Cell 9	35.863799999999900	-106.277700000000000
Mort PRB Gravel Cell 11	35.863799999999900	-106.277700000000000
Mort PRB Gravel Cell 12	35.863799999999900	-106.277700000000000
Mort PRB Gravel Cell 6	35.863799999999900	-106.277700000000000
Mort PRB Limestone Cell 13	35.863799999999900	-106.277600000000000
