MCO-0.6	-106.305499999999000	35.867899999999900	2010-07-02	662.0	Y	N	25
MCO-2	-106.298900000000000	35.865000000000000	2008-05-28	275.0	Y	N	20
MCOBT-4.4	-106.271000000000000	35.860599999999900	2002-04-22	53.6	Y	N	7
MCOI-4	-106.271199999999000	35.860599999999900	2005-06-23	135.0	Y	N	45
MCOI-5	-106.267399999999000	35.859999999999900	2005-06-09	770.0	Y	N	97
MCOI-6	-106.267100000000000	35.860300000000000	2016-11-08	86.6	Y	Y	108
PM-4	-106.266200000000000	35.850200000000000	2016-05-16	60.0	Y	N	60
R-15 OB	-106.267200000000000	35.859900000000000	1999-07-22	689.0	Y	N	4
R-28	-106.254800000000000	35.860100000000000	2017-02-07	605.0	Y	Y	176
R-42	-106.259100000000000	35.861300000000000	2010-11-10	1270.0	Y	N	66
R-43 S1	-106.260700000000000	35.863599999999900	2019-11-14	223.0	Y	Y	85
R-45 S1	-106.250600000000000	35.859200000000000	2017-12-18	50.7	Y	Y	95
R-50 S1	-106.255900000000000	35.856699999999900	2017-10-26	150.0	Y	Y	107
R-62	-106.266499999999000	35.863100000000000	2019-05-14	326.0	Y	Y	63
R-9	-106.223600000000000	35.866999999999900	1998-01-26	2980.0	Y	N	53
SCA-1-DP	-106.310500000000000	35.873600000000000	2014-07-31	121.11	Y	Y	27
SCA-2	-106.264500000000000	35.865400000000000	2007-11-15	552.0	Y	N	18
SCA-4	-106.257300000000000	35.863500000000000	2008-05-12	95.2	Y	N	20
SCI-2	-106.261000000000000	35.863700000000000	2008-10-21	660.0	Y	Y	101
